KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
6_274,6_274,6_144,6_46,6_46,6_46
6_46,6_46,6_185,6_274,6_274,6_274
6_378,6_378,6_228,6_13,6_13,6_13
6_207,6_207,6_414,6_304,6_122,6_304
6_13,6_13,6_375,6_122,6_304,6_122
6_122,6_122,6_168,6_378,6_378,6_44
6_304,6_304,6_161,6_207,6_207,6_409
6_456,6_275,6_317,6_44,6_44,6_349
6_275,6_456,6_63,6_456,6_275,6_207
6_149,6_44,6_271,6_275,6_456,6_378
6_401,6_149,6_127,6_349,6_156,6_435
6_44,6_401,6_151,6_401,6_55,6_127
6_450,6_468,6_224,6_156,6_349,6_316
6_468,6_450,6_216,6_55,6_401,6_230
6_416,6_156,6_45,6_149,6_468,6_159
6_156,6_55,6_193,6_468,6_450,6_205
6_55,6_416,6_11,6_450,6_149,6_276
6_177,6_388,6_223,6_416,6_9,6_277
6_157,6_9,6_397,6_9,6_416,6_213
6_388,6_157,6_200,6_388,6_388,6_190
6_9,6_177,6_298,6_70,6_70,6_440
6_420,6_420,6_16,6_409,6_409,6_348
6_337,6_70,6_278,6_435,6_435,6_346
6_70,6_349,6_125,6_177,6_420,6_310
6_42,6_337,6_133,6_157,6_154,6_475
6_239,6_42,6_209,6_420,6_184,6_51
6_349,6_239,6_294,6_154,6_68,6_87
6_154,6_68,6_260,6_68,6_129,6_456
6_184,6_154,6_227,6_184,6_177,6_275
6_68,6_184,6_153,6_129,6_157,6_164
6_412,6_129,6_321,6_51,6_51,6_137
6_129,6_412,6_296,6_348,6_239,6_379
6_100,6_40,6_323,6_239,6_42,6_153
6_244,6_100,6_269,6_42,6_40,6_494
6_500,6_500,6_189,6_337,6_48,6_59
6_199,6_244,6_360,6_440,6_368,6_489
6_40,6_48,6_19,6_40,6_160,6_185
6_48,6_199,6_233,6_160,6_348,6_144
6_51,6_51,6_358,6_368,6_440,6_188
6_368,6_368,6_173,6_48,6_337,6_158
6_160,6_160,6_361,6_346,6_346,6_235
6_162,6_435,6_393,6_412,6_412,6_368
6_471,6_409,6_93,6_162,6_162,6_160
6_435,6_162,6_279,6_59,6_59,6_197
6_322,6_348,6_316,6_205,6_500,6_9
6_409,6_346,6_230,6_100,6_244,6_55
6_430,6_322,6_145,6_500,6_100,6_156
6_417,6_440,6_502,6_244,6_199,6_434
6_348,6_471,6_290,6_199,6_180,6_180
6_346,6_59,6_231,6_180,6_205,6_72
