KMeans,MiniBatchKMeans,GMM,Spectral,Birch
9_56177,9_51861,9_14999,9_34631,9_81629
9_57934,9_55282,9_69958,9_34632,9_83202
9_57279,9_37079,9_50148,9_79247,9_49286
9_29719,9_60017,9_69635,9_76712,8_603
9_29717,9_55668,7_564,9_34748,9_77378
9_77376,9_60016,9_84027,9_34749,9_27151
9_77386,9_90492,9_81842,9_34747,8_2824
9_60016,9_4157,9_81005,9_34746,9_69370
9_68237,9_4156,9_36133,9_34630,9_69366
9_46537,8_1569,9_85645,8_5132,8_2669
9_65905,9_29717,9_37093,8_3087,9_77637
9_71038,9_29719,9_37095,9_20753,9_73098
9_55668,8_4772,8_13086,9_14614,9_41179
9_71656,8_10102,9_48084,9_14613,9_74806
9_60017,9_66671,9_23282,9_21717,9_83201
9_9499,9_4138,9_23281,9_44609,9_80883
9_9500,9_11325,9_86424,9_12968,9_69872
9_75538,9_89852,9_83360,9_14627,9_55928
9_37082,9_71656,8_4598,9_14628,9_27804
9_81262,9_37082,9_81966,9_42673,9_12860
9_37083,9_85745,9_30653,9_81104,9_12861
8_1416,9_49762,9_66204,9_44512,8_3502
8_10065,9_37083,9_79251,9_18773,9_13112
9_4138,9_64143,9_35649,9_71717,9_13113
9_7743,9_74083,8_10905,9_69347,9_79828
9_23884,9_70785,9_69753,9_71773,9_8102
9_48928,9_77386,9_53128,9_58789,9_8104
9_30128,9_51814,8_13088,9_14196,9_8101
9_30129,8_8494,9_66297,9_75441,9_8103
9_51861,8_8496,8_13087,9_88856,9_79590
9_2836,8_8487,9_35992,9_27386,9_28095
8_4772,8_8497,8_4570,9_69346,9_41703
9_77216,8_8499,9_76905,9_89326,9_88439
9_77316,8_8491,9_81273,9_72919,9_69785
9_77066,8_8490,9_92538,9_81163,9_78169
9_13657,8_8495,9_87995,9_80803,9_2973
9_66671,8_8492,9_66064,9_44606,8_1276
9_56641,8_8498,9_50702,9_72606,9_30133
9_64476,9_15702,9_52541,9_56226,9_72967
9_77404,8_10065,9_83365,9_56228,7_2496
9_6851,9_51692,9_49399,9_79007,9_71756
9_6850,9_2457,9_81175,9_88865,9_71757
9_90492,9_2459,9_91381,9_42971,9_67708
9_86436,9_76942,9_91380,8_12132,9_14274
9_51691,9_76966,9_41552,9_53253,9_27656
8_1569,9_76970,9_52875,9_44669,9_40712
8_10102,9_70786,9_17099,9_17484,9_54376
9_90073,9_66312,9_17098,9_56225,9_19950
9_37079,9_56177,9_84648,9_20737,9_90590
9_55282,9_57934,8_3327,9_27380,9_70439
